,class,ankle,knee,hip,shoulder,neck,elbow
31,3,1.5250703522514177,1.9885116802129446,-2.040811982402186,-2.411618364365061,-0.7081875520201797,1.0910094227613234
32,3,1.5259348907394492,1.9885095950708482,-2.0426602073156284,-2.412851230111273,-0.7107805339678901,1.0961866751508205
33,3,1.526792004341032,1.9882939823163692,-2.044638555870657,-2.413508260177524,-0.7128906175803363,1.10020586068838
34,3,1.5276152610087976,1.9879004664750797,-2.0466362005559358,-2.414284000784406,-0.7153567483381701,1.1046317575669906
35,3,1.5287389388127997,1.9877786000803344,-2.049641085051965,-2.4145011635685134,-0.7167469853893706,1.107189929904232
36,3,1.5299897023679807,1.9877609418812572,-2.0530981426430994,-2.4149939238889084,-0.7188657600657423,1.112555755997103
37,3,1.5308804042206245,1.9871727001872301,-2.0558865628218665,-2.416121467170487,-0.7208605359210186,1.1186544667144498
38,3,1.5317011727971703,1.9869270292392578,-2.059331651730437,-2.4169564764847875,-0.7226637929022529,1.1239380901611922
39,3,1.5320736213681407,1.9861383881095982,-2.0623461172941813,-2.417094397184515,-0.7233774388169787,1.1298616783565807
40,3,1.5327861879952724,1.9855248561214198,-2.0659677976846478,-2.417009713677514,-0.7260199991351243,1.1343928576143643
41,3,1.5331691361454554,1.9852106689156956,-2.0701342261307287,-2.417979756504511,-0.7267944966787262,1.1415177308408602
42,3,1.5337407337862095,1.985541457424861,-2.07566250805104,-2.4192811941006487,-0.7281816649220603,1.1503930617555513
43,3,1.5343350703393641,1.985468944052574,-2.080980513792789,-2.4208441377111773,-0.7293645420219416,1.1582403234400351
44,3,1.534811021683828,1.9855336872768623,-2.0868915015892506,-2.4220436227110453,-0.7306716571236324,1.1654551590403937
45,3,1.5353372781666235,1.985786173280374,-2.093393636999883,-2.422105541695506,-0.7316150810889169,1.1698892952697295
46,3,1.5355589863971535,1.9857207173423852,-2.0992997778893248,-2.4233695098400805,-0.7332817057900348,1.1773139794490994
47,3,1.5362433922721956,1.985806109266612,-2.1066486973240997,-2.4247354479301295,-0.73394698580334,1.1872305581842788
48,3,1.536775966044433,1.9856574071977864,-2.1138404033624987,-2.4260201350480832,-0.733945309488447,1.1963556834735294
49,3,1.537438879551562,1.9859388495862955,-2.1217866537620393,-2.4274796523303896,-0.7353243017018896,1.2054865169315283
50,3,1.5379078698140793,1.9858584697639277,-2.12954233114647,-2.428648752901948,-0.7368755255139434,1.2149524610125735
51,3,1.538444577883787,1.9856961603123588,-2.1377989540993365,-2.429848486770112,-0.7378981014239714,1.2309362399913306
52,3,1.5388548807827962,1.9864482302853474,-2.1473797761388234,-2.4317878534689754,-0.738335575099222,1.245483703893344
53,3,1.5392901378499138,1.9865733303773627,-2.156760701701307,-2.433899077811919,-0.7385212092307589,1.2605682870123467
54,3,1.539809462266816,1.9872396092031828,-2.167117020337291,-2.4353915688677974,-0.7388534695460799,1.266385387429441
55,3,1.5400020293765122,1.9872492965811306,-2.177084975561291,-2.4362966181817054,-0.7386949883686637,1.2755298520918439
56,3,1.5402669381119873,1.987417177958294,-2.187690697689373,-2.4391336604333897,-0.7378987784518052,1.2931638211280936
57,3,1.5402471925480896,1.9873002977606715,-2.198353192570231,-2.44078816943189,-0.7368245807934676,1.3090418112009279
58,3,1.5404070318641434,1.9874119019935046,-2.209906422692253,-2.4427308008110376,-0.7360581921456618,1.3235348659354111
59,3,1.5405444416243446,1.986938968411053,-2.221071183997746,-2.4463947229486864,-0.7358600416017074,1.3377023574290687
60,3,1.5408856623336562,1.9863940954715078,-2.2333048844290344,-2.448748269590786,-0.7337551755846257,1.3635508986627047
61,3,1.541147986171079,1.986279167300692,-2.245740127540431,-2.4517647618797573,-0.7324244006857776,1.3765080803403986
62,3,1.541238516738979,1.985692220925234,-2.2574647095479152,-2.456810859993904,-0.7313580321766489,1.3904853064375795
63,3,1.5415079819308053,1.9847491126756402,-2.2700680390612593,-2.4593490206205955,-0.7292546287103163,1.4131429033734724
64,3,1.5413137972650461,1.984957099151151,-2.2839104792013285,-2.465022173647717,-0.7274102697212753,1.4303403428055208
65,3,1.5408296039375216,1.9839754710285664,-2.2963265342344985,-2.468707778919406,-0.726307013475549,1.4512693261583929
66,3,1.5396525870996998,1.9835757507847944,-2.3094317572556573,-2.4728897993671306,-0.7231981679488413,1.4729500216071616
67,3,1.5386489711816993,1.983330841867521,-2.3232979546646737,-2.4768407626410758,-0.7211363024522086,1.4902147678973985
68,3,1.5375265279021262,1.9823012625606502,-2.3361044323352247,-2.4808042267067556,-0.7196592725429279,1.5076835726722502
69,3,1.5369244520287946,1.9822795909459066,-2.350959942158581,-2.484895169577693,-0.717140702723017,1.5300059630342109
70,3,1.5361820660062495,1.9821793952321762,-2.3670104736565873,-2.488311521418672,-0.7128538522313077,1.549051922256879
71,3,1.5352831881137046,1.9816247284395665,-2.38182901495169,-2.491158215032089,-0.710401570564831,1.57341314464996
72,3,1.5344028116871353,1.9817208609486823,-2.39801319871174,-2.4964868537996985,-0.7076338219127798,1.5811180315911073
73,3,1.533624106378121,1.980965894900713,-2.41268496027963,-2.5013093231671593,-0.7060847176002114,1.6160186557229634
74,3,1.5324271834979528,1.9817101296446404,-2.4291483154466142,-2.508972159314526,-0.7043851503787922,1.6245453569762338
75,3,1.530915952014706,1.9822762335432307,-2.4444387880674774,-2.5168690005680316,-0.7028871398080445,1.6497117313730438
76,3,1.5288168436926226,1.9826807674453706,-2.4596114098460826,-2.5238449543050487,-0.701429653654803,1.674265816850414
77,3,1.5265471791979703,1.982112881343041,-2.4744017314532964,-2.530788233217582,-0.6994239486900093,1.6897712013107777
78,3,1.5245730953747865,1.9817248783587669,-2.488968413701632,-2.5410109219179366,-0.6979297775667563,1.7100261762375497
79,3,1.5223449456807518,1.980526087373951,-2.5021111499422424,-2.5498133266442355,-0.6971257978505283,1.7319335774901092
80,3,1.5196346928013482,1.980616105394141,-2.5169923105784466,-2.559683701455792,-0.6952824724078126,1.7508488049357582
81,3,1.5158954101270903,1.9816768101121678,-2.531775251438085,-2.567282038113496,-0.6922208896081607,1.7692544187221695
82,3,1.5128454000001972,1.9843137996036564,-2.5485456990075734,-2.5769355090776926,-0.6907571513940403,1.7872604226245035
83,3,1.5095818169947088,1.98484260145944,-2.561982355017309,-2.588691837121419,-0.6910930620383784,1.8072651166059388
84,3,1.5046196250066588,1.982805858680127,-2.571399217799061,-2.5977565870216757,-0.6908272728654173,1.827464848170394
85,3,1.5014181475270325,1.9846247964146704,-2.5874999869865962,-2.6076296848550378,-0.6871791381125312,1.8420461005858555
86,3,1.4966475244646422,1.9867979722738136,-2.601837320400553,-2.6137641675103818,-0.6858410002133992,1.8578970242583122
87,3,1.4921151049840433,1.9866915026388092,-2.613011118393871,-2.6254394394920353,-0.6859578774003582,1.8730004383649541
88,3,1.4870164695742303,1.9852083627031138,-2.6220698796142603,-2.635326991873983,-0.6844023168419103,1.8838803759286147
89,3,1.481734745551612,1.9871279936137558,-2.6344731682716325,-2.646159590199822,-0.6827343900146957,1.8906877600878567
90,3,1.4763769500063346,1.9874976075581499,-2.644646669962154,-2.654901005794568,-0.6813828099490695,1.9009424396510715
91,3,1.4713795221554562,1.9869207146391688,-2.6544750079704267,-2.6652087485814646,-0.67767160764105,1.9157093551245379
92,3,1.4654006820631904,1.9881783778249504,-2.6651830818386646,-2.678297856801899,-0.6741491810288005,1.93006540353178
93,3,1.4602314014453728,1.9855885580816768,-2.672708110618724,-2.6881023007429428,-0.6713356129403085,1.9400048431599273
94,3,1.4530247134306025,1.9877962457653702,-2.68340423895818,-2.6971949636022847,-0.6670617874413508,1.9497421445806908
95,3,1.4454259674925023,1.9864634611533463,-2.690117114315184,-2.708066342067359,-0.6618007112681494,1.9573098317961521
96,3,1.4397684997816513,1.9899294199513253,-2.7028187903859187,-2.7146587420538113,-0.6570511011741614,1.962843011324323
97,3,1.4319893754510564,1.986288848502201,-2.7065985912104362,-2.7231049427051266,-0.6516514064514368,1.9710293451323786
98,3,1.4253301771899538,1.9882199651007149,-2.716494161918379,-2.7310306372160835,-0.6468548193666493,1.9822815510003065
99,3,1.4181532723611225,1.9845599508870508,-2.7200010476849648,-2.7370916424708116,-0.6404156953602974,1.9880720121666828
100,3,1.410005346918588,1.985345165143288,-2.726326246698842,-2.7402068677354903,-0.633683153021643,1.9922030170012455
101,3,1.4022615801462812,1.982184508317749,-2.7291300523114264,-2.74393247504044,-0.627117239770572,1.9948078458968082
102,3,1.3931733161754443,1.983498113159249,-2.7345342411051314,-2.7457314043210506,-0.6194334541723463,1.999857511934141
103,3,1.3837399483609967,1.981979389861329,-2.736573437702455,-2.7445618853758194,-0.610943755693684,1.9973297491959947
104,3,1.3756147965453418,1.9773595747196797,-2.735947901672844,-2.742856855421743,-0.6032413465582795,1.9955137867305708
105,3,1.3680086838298207,1.9751849558973307,-2.7379855040277956,-2.7394699468456776,-0.5949197476923351,1.996568420640576
106,3,1.3602535161331362,1.9671389724330686,-2.7329527671916884,-2.732001704267588,-0.5867893669355179,1.990790400574949
107,3,1.3537235154577816,1.9628929090399323,-2.730536291877726,-2.7277924609938617,-0.5823707193605001,1.9826571247678615
108,3,1.346337428911919,1.953500326268247,-2.7218076041591965,-2.7210657465547134,-0.5776135870729878,1.975511056596312
109,3,1.3391015414291454,1.9471676167909298,-2.7143963695451827,-2.710852752084185,-0.5726232601845886,1.9596856732088845
110,3,1.3311495198967773,1.9371778785689706,-2.702056719083407,-2.705357372579047,-0.5676772849903499,1.9401947775375752
111,3,1.3227403659690364,1.9293475164179483,-2.690274953052793,-2.6942890857613313,-0.5627055660578341,1.9233679534206232
112,3,1.3150287347090301,1.9188707634650006,-2.674602698854475,-2.6836278236388322,-0.5598038740105762,1.9096544829292716
113,3,1.3082768194072623,1.9067566612664155,-2.6580587170579135,-2.6731756403709466,-0.5561096698524877,1.880895326577896
114,3,1.3002864312682458,1.8956656354194958,-2.6397430872550585,-2.6567254634193804,-0.5534795197954219,1.84421308191854
115,3,1.2937778018995594,1.8827590428472378,-2.6203650481437952,-2.6433577432095876,-0.5504922738962688,1.8115696443095195
116,3,1.2867277448475947,1.8690065337133106,-2.5980829757814865,-2.631709512630163,-0.5487159734772038,1.771245732451988
117,3,1.2800608519629704,1.855291086360589,-2.573885502908214,-2.616952366277199,-0.5490140347588851,1.7245655752744624
118,3,1.2739816329524127,1.8409204729747928,-2.550338130147968,-2.5980037563221243,-0.5454944747455517,1.6745254516188948
119,3,1.2668402350998238,1.8251172842356773,-2.521410472573756,-2.589484885144093,-0.5447268976376122,1.6210857655971636
120,3,1.2607956733370078,1.8101768030396688,-2.4945529021607102,-2.571079447708605,-0.5410334670035183,1.5695382361841812
121,3,1.254399512956051,1.7945303480902484,-2.465877059561705,-2.5517089850415675,-0.5380678340162036,1.517649032313674
122,3,1.2471951042671228,1.7780149346604153,-2.4341696575848863,-2.547193165838624,-0.5355737680431455,1.4777061330297012
123,3,1.2414167592545347,1.7604473459755516,-2.402039279157748,-2.5265127502249016,-0.5327635743812748,1.4297977099135062
124,3,1.2354387680395738,1.741297545249058,-2.3671346902467065,-2.5064235070635297,-0.5316826289051965,1.3687969887287845
125,3,1.2307307034290424,1.7211063200258905,-2.3311557319348255,-2.498100527545797,-0.5312929362932945,1.3522170992360607
126,3,1.2262798813866074,1.7000047789879884,-2.294298001222394,-2.4719846593910484,-0.5307853499786517,1.2917297401560948
127,3,1.2217267025167942,1.6797049776350403,-2.2569537363566545,-2.458571948268536,-0.5306064142130253,1.210047485695579
128,3,1.2184914022703397,1.657351864032859,-2.217058428163137,-2.424745390791087,-0.5321283194647227,1.1070525387494712
129,3,1.2137369379846683,1.6362872222071585,-2.1771691888972575,-2.3970884392585514,-0.532630402734412,1.0268517673389708
130,3,1.2097882714531794,1.613878572120541,-2.135774788428681,-2.3722673431470436,-0.5327573173333735,0.9497217998478412
131,3,1.2066646124429903,1.5914168749274744,-2.0940695786539294,-2.3420020592887987,-0.5350316298930704,0.8656111041412261
132,3,1.2041015275550806,1.5675566187535743,-2.0514489000790475,-2.3083146997996775,-0.5353426984210408,0.7701067858249684
133,3,1.202156668303536,1.5431117088773108,-2.007584019438312,-2.2708021631239017,-0.5380752734904614,0.6615093822066486
134,3,1.2011699515407148,1.5163884544367816,-1.9629905831753054,-2.2368822244022533,-0.5382280118804047,0.556255676989368
135,3,1.2012948542647357,1.4882446527209305,-1.9160964165490664,-2.2060633673504966,-0.540916690295572,0.45422148078501645
136,3,1.2019187172682049,1.4583895753666045,-1.8689924756534815,-2.176844063858366,-0.5425511878246564,0.3543670872072737
137,3,1.204309775345557,1.427757095534397,-1.8218570008024955,-2.1594320981148503,-0.5455589719314305,0.2704802885324069
138,3,1.206832076643762,1.3961255362509974,-1.7731638362253732,-2.1554578257285164,-0.5498997074420076,0.20622153820778166
139,3,1.210663103637765,1.3633237417433743,-1.7256040029620678,-2.1608892385320475,-0.5536603835035794,0.15452002587368852
140,3,1.2136213043408133,1.3307750029345478,-1.6762971596562752,-2.173497365761531,-0.5593153136637549,0.11335472879113762
141,3,1.21797514252942,1.2973271433618103,-1.6278207990701334,-2.187175410679301,-0.5641332251947936,0.07983675118176281
142,3,1.222812572747533,1.2627589930444636,-1.579290992070152,-2.200355382050292,-0.5676039552754819,0.062443497802786796
143,3,1.2268925834442594,1.2285768116060574,-1.5314040486050335,-2.214625380115011,-0.568429462144523,0.05457853714693117
144,3,1.2331887686681557,1.1919635249406044,-1.4830115418014982,-2.231964997333695,-0.568639830869553,0.060155125512332486
145,3,1.2384527420929328,1.1554075902618364,-1.433958180916309,-2.251360448235741,-0.5681664305417589,0.08073821754802357
146,3,1.2445794272243813,1.1175497997103496,-1.3842699269829,-2.27050785246107,-0.5685702101208929,0.10812333862612533
147,3,1.2522360429324528,1.0791976833101715,-1.3365397350565908,-2.2866827401625742,-0.5677506623356859,0.13760856723097703
148,3,1.2611050317261672,1.0397410581684015,-1.288792924095856,-2.3050355013155137,-0.568118142226437,0.1750393353398063
149,3,1.269391315293893,1.0011333920380432,-1.2422555583598638,-2.3255376219720554,-0.5678112478811306,0.21672577854674402
150,3,1.2780967233964848,0.9619294229474249,-1.195530754332977,-2.3459107803547736,-0.568346472692411,0.2612285904379936
151,3,1.2872288478923728,0.9232072569193883,-1.1504473560081683,-2.370312747550161,-0.568508650215716,0.3113993715609775
152,3,1.2963081177443492,0.8847149722723473,-1.106050306227914,-2.3975529215089857,-0.5698042720834484,0.3654731707813157
153,3,1.3054275575188856,0.8459256903295103,-1.0607921212359364,-2.423481778285341,-0.5727782398050588,0.4187768567881144
154,3,1.314801726730835,0.8077017712869987,-1.016491195316083,-2.4494426024669074,-0.577545454837686,0.4703620638861229
155,3,1.325598573767123,0.7676565686098185,-0.9722910887152671,-2.4744879004902467,-0.5819707081663635,0.5208789871698686
156,3,1.33510189824609,0.7297479681591714,-0.9280860680903855,-2.4942412252200503,-0.5884215286729492,0.5632902947598158
157,3,1.34413584642747,0.6918949463586896,-0.8834339141437817,-2.513616826173921,-0.5951668176288333,0.6033076441258716
158,3,1.3533130277014833,0.6550888345009631,-0.8408019220772882,-2.5296865355675258,-0.6002128861708451,0.6365380237486539
159,3,1.3630629582336375,0.6175927200489102,-0.7974680368449945,-2.544072475947843,-0.6072849428957271,0.6664699610563414
160,3,1.3730692016268806,0.5812945249941621,-0.7561264458100876,-2.5591660648279766,-0.6132175108260866,0.6931640220206605
161,3,1.3831985682143808,0.5460401828484214,-0.7163925800751187,-2.571356665393759,-0.6190067858436183,0.7175549777418908
162,3,1.3924528256311535,0.5118045020361939,-0.6754966512947498,-2.585968427975124,-0.6278624656473143,0.741291395281738
163,3,1.4015322896447602,0.47933540028987864,-0.6374358572024661,-2.5992968932956044,-0.63445996527525,0.7640446129756309
164,3,1.4108106230260746,0.4476543833823272,-0.5989784285208197,-2.614078419608635,-0.644485945210484,0.7850527884510542
165,3,1.4194356682869784,0.4180784856406623,-0.5634710443762292,-2.625298229769694,-0.6525196792182982,0.8019303091703792
166,3,1.4276751917902024,0.39035942619976316,-0.5281662446864517,-2.637225614186714,-0.6634937795569006,0.817875967205018
167,3,1.4350795477807132,0.3652276744945555,-0.496270105617729,-2.6469478287727437,-0.6713843299125261,0.8328309583171357
168,3,1.4417207541852788,0.3420523742144961,-0.46465551447500153,-2.6552197896798795,-0.6810747534954934,0.8439578592366775
169,3,1.4477904414035299,0.32173804427638153,-0.43721990626620966,-2.6629414182573843,-0.6882520744451351,0.8530938671065597
170,3,1.453919069262076,0.3003725712532126,-0.4088721527846373,-2.668392255509372,-0.6957992554680613,0.8600579433310396
171,3,1.4581321469938544,0.2837190022448821,-0.38385662340734306,-2.672531269533363,-0.702357041571728,0.8636434146967524
172,3,1.463070305883564,0.2658604320039879,-0.35895753991093016,-2.6730071500027233,-0.7089546816375726,0.8606445665890109
173,3,1.466096978848371,0.2527000443065255,-0.33882290861687525,-2.674357519541065,-0.7132181842048563,0.8596510384728551
174,3,1.4701190913910744,0.23764253316339334,-0.317910565512989,-2.6720815279037597,-0.7181201718390315,0.852165222015503
175,3,1.473494870895596,0.224257482425555,-0.3000353015016821,-2.6670659090325874,-0.7207554335755986,0.8411532945630252
176,3,1.475699989378566,0.21462862101295688,-0.28540466839286505,-2.663852615615368,-0.7227241134706845,0.8296709987266125
177,3,1.478815718930431,0.20415892442932226,-0.2722365827692752,-2.655704068274135,-0.7231254590130841,0.8118461173300573
178,3,1.4809698833546752,0.19615120360396343,-0.26055958771609067,-2.6496036335793525,-0.723165556566333,0.7935670131584606
179,3,1.482697061954741,0.18884168227161435,-0.2503088584334108,-2.6421008821561953,-0.7226923987065897,0.7740734018250872
180,3,1.484159474502889,0.18240096519662718,-0.2403679955705884,-2.636987195510626,-0.7231218713791877,0.7519783780901961
181,3,1.485404075367857,0.1767648398491659,-0.23134979230025388,-2.631721906335123,-0.7230678335733309,0.7280332929849469
